N,P,K,temperature,humidity,ph,rainfall,soil_type,crop
236.9447625,143.2040038,293.4080378,15.5183283,71.04700545,7.61366747,226.4642326,Clay Loam,Finger Millet
270.1095268,276.1147161,62.13240606,28.99115913,57.6166249,7.175111523,209.9518021,Clay Loam,Watermelon
240.518672,75.54620653,120.9430327,11.7994571,99.67222475,5.423315121,272.8940975,Red Sandy Loam,Mango
229.1034116,9.418181136,14.08022857,16.35279207,33.71542726,5.491496309,290.2265218,Saline Coastal Alluvium,Rice
249.7442207,19.35700307,56.09311446,13.84130856,77.93935409,4.009627884,260.8764044,Clay Loam,Guava
112.9071997,260.0991634,108.594227,15.86056047,56.3355006,7.03241265,43.36215797,Saline Coastal Alluvium,Green Chillies
266.3896909,14.71505613,91.14330138,11.10191343,70.58040977,8.009337949,21.09307082,Clay Loam,Yam
84.05299665,139.8925434,269.619749,25.3720718,80.97303378,5.172309498,164.3501211,Saline Coastal Alluvium,Mango
251.5600953,105.326375,163.2512281,17.94422262,23.8528457,6.545422431,48.09699838,Saline Coastal Alluvium,Finger Millet
191.3860467,47.62720998,299.6734393,27.43699285,93.63150958,6.910555528,38.99708854,Red Sandy Loam,Red Gram
279.6051133,253.6051985,18.86568157,44.90733005,76.87347903,4.736189729,175.7251755,Saline Coastal Alluvium,Groundnut
109.4014096,130.8402124,233.7172744,15.26737062,23.25317004,7.892096438,188.4861241,Saline Coastal Alluvium,Green Chillies
153.3238184,92.41883129,128.8122088,26.25591008,67.66179402,6.87805967,29.22113956,Clay Loam,Red Gram
189.4731091,242.7259459,201.2188758,21.6526871,55.06253035,7.073021946,27.33327741,Clay Loam,Jack
271.0746551,15.23405773,117.7301072,10.78472561,61.83245262,8.015898461,284.4941688,Red Sandy Loam,Pearl Millet
276.198693,231.1338395,72.8636026,27.12176501,74.1949968,4.527895411,46.91980766,Saline Coastal Alluvium,Mango
62.26572064,190.500681,15.4743749,17.44186164,65.45982396,5.133104313,32.34297186,Clay Loam,Turmeric
57.55278358,184.2277742,295.9404456,27.66072258,67.99121315,5.248318776,106.3540775,Saline Coastal Alluvium,Red Gram
15.291618,25.24042608,6.437782158,16.62836892,26.72442024,5.662445634,246.7526965,Saline Coastal Alluvium,Red Gram
100.1144433,90.78832259,258.857039,16.48336746,57.10145571,4.966694338,39.16798234,Clay Loam,Mango
92.29927265,114.6058571,95.56550874,40.86679009,43.39974901,6.800006824,77.78771061,Clay Loam,Jack
186.7510534,294.7734931,146.9167665,10.18316375,27.36137884,3.744769613,159.2709912,Clay Loam,Red Gram
79.47168585,8.586055369,161.2614458,41.33098568,68.62086591,6.998740557,30.78344134,Clay Loam,Banana
11.59713206,72.75311295,173.8678176,27.85301439,99.06602627,6.75587626,163.6091087,Red Sandy Loam,Mango
196.67886,7.380702936,145.7077276,23.22365836,41.10611501,7.068957992,57.86563428,Red Sandy Loam,Watermelon
44.08410897,117.2618973,210.4063394,17.23078974,38.95791009,5.483882824,67.04027969,Red Sandy Loam,Brinjal
234.9507913,184.0248722,17.59499622,38.76411566,53.7791626,3.855316952,207.6784347,Red Sandy Loam,Banana
159.8645794,22.38097525,95.25589949,12.80562644,30.32871465,3.923445738,166.3412477,Clay Loam,Finger Millet
169.0381573,3.905115974,141.2734777,28.06385573,33.51268319,5.998351456,101.696024,Clay Loam,Crossandra
297.7353171,186.3197661,52.58298277,11.25534251,27.2293041,3.570612069,255.9740072,Saline Coastal Alluvium,Guava
156.0489339,134.8033634,144.2407211,43.17416016,31.20538336,7.962563093,213.1124595,Clay Loam,Jack
77.50488215,187.1530343,134.890203,44.55447031,61.13656436,3.800793354,185.4035309,Saline Coastal Alluvium,Rice
274.449193,30.68969756,82.0098972,20.50932789,80.63959146,6.354606728,274.9942188,Saline Coastal Alluvium,Tapioca
250.2758141,112.306129,190.6274755,20.57576514,97.27367466,3.852379025,135.3954855,Clay Loam,Finger Millet
15.82841988,215.5597438,52.900148,18.9407328,95.90920563,7.347918474,240.0330722,Saline Coastal Alluvium,Guards
260.5692265,270.2433525,151.1039145,15.60310586,25.58638468,8.217781083,268.0468924,Clay Loam,Red Gram
46.04789857,92.72039926,234.8370998,40.62464062,29.89220853,4.571695472,25.46094262,Saline Coastal Alluvium,Rice
19.14585482,155.9485873,59.49720244,38.32908843,58.57351701,5.557873547,110.4823139,Clay Loam,Red Gram
119.3715025,49.41843661,221.9361906,13.98330411,42.35485448,5.06137017,54.93676013,Saline Coastal Alluvium,Rice
164.6873412,57.64565872,296.9351149,27.64181818,25.35946053,4.896370995,252.4727912,Clay Loam,Yam
36.13908402,124.5600098,236.8231357,33.0890224,87.89787787,5.360531822,242.702007,Clay Loam,Pearl Millet
192.0311478,127.5354727,79.55815844,20.83024961,49.63275337,7.030516938,165.5875124,Clay Loam,Rice
259.3847986,66.86529026,39.39009528,17.0140446,36.63577543,6.045157028,114.8004013,Clay Loam,Green Chillies
283.1305482,6.897708467,77.25353982,28.13089745,43.3523522,8.221076232,193.1716192,Clay Loam,Crossandra
224.5506882,256.6472245,199.1424946,44.35605267,74.98389957,7.240052921,93.43507917,Clay Loam,Gingelly
272.6913636,257.3994661,160.1545444,33.88378838,33.38015818,7.19976293,12.29793969,Red Sandy Loam,Sorghum
223.796197,194.0236015,113.4795305,18.60869498,54.43229444,4.159206457,287.3305732,Clay Loam,Rice
138.7892189,285.5210929,35.9587473,35.76073465,47.63992546,4.493376109,88.07815996,Clay Loam,Brinjal
35.64777099,279.0892626,144.9780731,29.47834452,44.69022583,6.461038153,199.1281773,Saline Coastal Alluvium,Pearl Millet
286.6648062,210.6175692,54.03733969,38.03412508,90.27392699,4.530164076,149.5227365,Saline Coastal Alluvium,Sorghum
109.8682367,18.81159905,239.1651938,43.0681442,64.28545982,6.832742223,63.00602969,Red Sandy Loam,Yam
50.21146066,223.821004,2.071889666,18.6914301,75.06363275,3.695734786,44.08932835,Red Sandy Loam,Yam
155.3090626,119.4041194,127.9471798,28.45745506,56.00215984,7.851641464,219.4182122,Clay Loam,Red Gram
246.5681654,85.89108882,186.8475956,27.07704327,46.07432448,4.429583527,33.18750055,Red Sandy Loam,Guava
